source_url,target_url,similarity,reason
https://www.getmaxim.ai/docs/folders/folder/create-folder,https://www.getmaxim.ai/docs/library/evaluators/folders-in-evaluators,0.591,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/folders/folder/create-folder,https://www.getmaxim.ai/docs/offline-evals/via-ui/prompts/folders-and-tags,0.5804,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/folders/folder/create-folder,https://www.getmaxim.ai/docs/prompts/prompt/get-prompts,0.5462,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/folders/folder/get-folders,https://www.getmaxim.ai/docs/folders/folder-contents/get-folder-contents,0.9572,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/folders/folder/get-folders,https://www.getmaxim.ai/docs/datasets/dataset/get-datasets,0.6623,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/folders/folder/get-folders,https://www.getmaxim.ai/docs/prompts/prompt/get-prompts,0.6268,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/create-a-pagerduty-integration,https://getmaxim.ai/docs/integrations/create-a-pagerduty-integration,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/create-a-pagerduty-integration,https://getmaxim.ai/docs/integrations/create-a-slack-integration,0.7843,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/create-a-pagerduty-integration,https://www.getmaxim.ai/docs/integrations/integration/create-integration,0.6322,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/create-a-slack-integration,https://getmaxim.ai/docs/integrations/create-a-slack-integration,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/create-a-slack-integration,https://getmaxim.ai/docs/integrations/create-a-pagerduty-integration,0.7843,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/create-a-slack-integration,https://www.getmaxim.ai/docs/integrations/integration/create-integration,0.6502,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/create-integration,https://getmaxim.ai/docs/integrations/create-a-slack-integration,0.6502,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/create-integration,https://www.getmaxim.ai/docs/integrations/create-a-slack-integration,0.6502,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/create-integration,https://getmaxim.ai/docs/integrations/create-a-pagerduty-integration,0.6322,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/delete-integration,https://www.getmaxim.ai/docs/prompts/prompt/delete-prompt,0.9235,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/delete-integration,https://www.getmaxim.ai/docs/datasets/dataset/delete-dataset,0.9075,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/delete-integration,https://www.getmaxim.ai/docs/alerts/alert/delete-alert,0.8734,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/get-integrations,https://www.getmaxim.ai/docs/datasets/dataset-column/get-dataset-columns,0.826,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/get-integrations,https://www.getmaxim.ai/docs/alerts/alert/get-alerts,0.7817,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/get-integrations,https://www.getmaxim.ai/docs/prompt tools/prompt-tool/get-prompt-tools,0.779,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/update-integration,https://www.getmaxim.ai/docs/prompts/prompt-config/update-prompt-config,0.884,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/update-integration,https://www.getmaxim.ai/docs/prompts/prompt-deployment/deploy-prompt-version,0.8752,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/integration/update-integration,https://www.getmaxim.ai/docs/logging/sdk-logging/batch-push-logs,0.8603,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/overview,https://getmaxim.ai/docs/integrations/overview,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/overview,https://www.getmaxim.ai/docs/sdk/python/overview,0.8548,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/simulate-bedrock-agent,https://getmaxim.ai/docs/integrations/simulate-bedrock-agent,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/simulate-bedrock-agent,https://getmaxim.ai/docs/integrations/simulate-glean-agent,0.7244,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/integrations/simulate-bedrock-agent,https://www.getmaxim.ai/docs/simulations/text-simulation/overview,0.6033,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/introduction/overview,https://getmaxim.ai/docs/introduction/overview,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/introduction/overview,https://getmaxim.ai/docs/offline-evals/overview,0.5929,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/introduction/overview,https://getmaxim.ai/docs/tracing/overview,0.5587,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/introduction/running-your-first-eval,https://getmaxim.ai/docs/introduction/running-your-first-eval,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/introduction/running-your-first-eval,https://www.getmaxim.ai/docs/offline-evals/via-ui/prompts/quickstart,0.6042,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/introduction/running-your-first-eval,https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_custom_evaluator,0.595,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/concepts,https://getmaxim.ai/docs/library/concepts,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/concepts,https://www.getmaxim.ai/docs/library/evaluators/custom-evaluators,0.7343,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/concepts,https://www.getmaxim.ai/docs/cookbooks/sdk/sdk_custom_evaluator,0.6218,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/context-sources,https://getmaxim.ai/docs/library/context-sources,1.0,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/context-sources,https://www.getmaxim.ai/docs/offline-evals/guides/evaluating-the-quality-of-ai-hr-assistants,0.5343,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/datasets/curate-datasets,https://www.getmaxim.ai/docs/offline-evals/via-ui/advanced/dataset-evaluation,0.6211,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/datasets/curate-datasets,https://www.getmaxim.ai/docs/offline-evals/via-ui/advanced/customized-reports,0.6138,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/datasets/curate-datasets,https://www.getmaxim.ai/docs/online-evals/via-ui/set-up-human-annotation-on-logs,0.5302,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/datasets/import-or-create-datasets,https://getmaxim.ai/docs/release-notes/Oct 2025/synthetic-data-generation,0.6185,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/datasets/import-or-create-datasets,https://www.getmaxim.ai/docs/offline-evals/via-ui/agents-via-no-code-builder/test-prompt-chains,0.6098,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/datasets/import-or-create-datasets,https://www.getmaxim.ai/docs/offline-evals/via-ui/advanced/dataset-evaluation,0.6036,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/datasets/manage-datasets,https://www.getmaxim.ai/docs/offline-evals/via-ui/advanced/dataset-evaluation,0.5541,High semantic similarity; add contextual link
https://www.getmaxim.ai/docs/library/datasets/manage-datasets,https://www.getmaxim.ai/docs/offline-evals/via-ui/advanced/presets,0.518,High semantic similarity; add contextual link
